wid,label,genres,materials,image,year,year_bin,years,image_path,genres_encoded,materials_encoded,years_encoded
Q140152,Victory Monument,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/6/61/Ankara_asv2021-10_img38_Victory_Monument.jpg,1927,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q140152_0.png,8,1,8
Q348381,"Adam Mickiewicz Monument, Kraków",public art,bronze,https://upload.wikimedia.org/wikipedia/commons/1/12/Krak%C3%B3w_-_Pomnik_Mickiewicza_01.JPG,1955,10,1940-1959,/home3/jqwx33/SculptureMTL/selected_images/Q348381_0.png,8,1,9
Q517408,Psyche Revived by Cupid's Kiss,nude,marble,https://upload.wikimedia.org/wikipedia/commons/7/77/Amor-Psyche-Canova-JBU01.JPG,1793,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q517408_0.png,6,3,5
Q680156,Bamberg Horseman,equestrian statue,stone,https://upload.wikimedia.org/wikipedia/commons/2/28/2020-07-03_07-05_Franken_102_Bamberg%2C_Dom%2C_Bamberger_Reiter_%2850126573137%29.jpg,1225,2,1200-1399,/home3/jqwx33/SculptureMTL/selected_images/Q680156_0.png,3,6,1
Q685987,Hammering Man,public art,metal,https://upload.wikimedia.org/wikipedia/commons/b/b9/Hammering_Man_Copy_Frankfurt.jpg,1990,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q685987_0.png,8,4,11
Q922362,,portrait,terracotta,https://upload.wikimedia.org/wikipedia/commons/9/98/Pau_Carbonell_-_Una_lime%C3%B1a-_2635.JPG,1881,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q922362_0.png,7,7,7
Q1243007,Double Herm of Socrates and Seneca,Other,marble,https://upload.wikimedia.org/wikipedia/commons/5/58/Duble_herma_of_Socrates_and_Seneca_Antikensammlung_Berlin_01.jpg,300,1,1-1199,/home3/jqwx33/SculptureMTL/selected_images/Q1243007_0.png,0,3,0
Q1320557,Inverted Collar and Tie,public art,metal,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kronenhochhaus_Entrance.JPG,1994,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q1320557_0.png,8,4,11
Q1548321,,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/e/e4/Gro%C3%9Fe_Neeberger_Figur.JPG,1971,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q1548321_0.png,8,1,10
Q1631427,Houseball,public art,Other,https://upload.wikimedia.org/wikipedia/commons/b/b2/Houseball_%28Berlin-Mitte_2013%29_1221-1101-%28120%29.jpg,1996,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q1631427_0.png,8,0,11
Q1788577,Krieg,mythological sculpture,bronze,https://upload.wikimedia.org/wikipedia/commons/1/16/Biringer_Krieg_Bueste_Sockel_DSC_4956.jpg,1928,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q1788577_0.png,5,1,8
Q2376846,La Place des enfants,public art,metal,https://upload.wikimedia.org/wikipedia/commons/e/e4/Place_Goldoni_2.JPG,2006,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q2376846_0.png,8,4,12
Q2488682,Santa Claus,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/6/6e/13-06-27-rotterdam-by-RalfR-41.jpg,2001,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q2488682_0.png,8,1,12
Q2625967,Apollo/Cupid,nude,marble,https://upload.wikimedia.org/wikipedia/commons/3/3a/Michelangelo%2C_studio_forse_per_il_cupido-apollo%2C_louvre_2.jpg,1497,3,1400-1499,/home3/jqwx33/SculptureMTL/selected_images/Q2625967_0.png,6,3,2
Q3203574,L'Hommage à Cézanne,nude,Other,https://upload.wikimedia.org/wikipedia/commons/9/9c/Monument_%C3%A0_C%C3%A9zanne%2C_Tuileries%2C_Paris_novembre_2010.jpg,1912,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q3203574_0.png,6,0,8
Q3282223,statue of Sacred Heart of Jesus Christ,Other,stone,https://upload.wikimedia.org/wikipedia/commons/8/82/H._Hartbeeld_H._Leonarduskerk_Beek_en_Donk_Monument_525190.jpg,1922,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q3282223_0.png,0,6,8
Q3497603,Warrior on Horseback,equestrian statue,stone,https://upload.wikimedia.org/wikipedia/commons/1/1e/Aleksandar_Makedonski_vo_Skopje_011.jpg,2011,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q3497603_0.png,3,6,12
Q3497629,Equestrian statue of George Washington,equestrian statue,bronze,https://upload.wikimedia.org/wikipedia/commons/c/cd/George_Washington_P1190516.jpg,1900,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q3497629_0.png,3,1,7
Q3512408,World peace flame,public art,stone,https://upload.wikimedia.org/wikipedia/commons/4/44/World_Peace_Flame1.jpg,2002,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q3512408_0.png,8,6,12
Q3633812,The Feast of Herod,religious art,marble,https://upload.wikimedia.org/wikipedia/commons/c/c1/Lille_PdBA_donatello_festin_herode.jpg,1435,3,1400-1499,/home3/jqwx33/SculptureMTL/selected_images/Q3633812_0.png,9,3,2
Q3647646,Bust of Cardinal Alessandro Peretti,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/0/02/Gianlorenzo_bernini%2C_busto_del_cardinale_alessandro_peretti_damasceni_montalto%2C_1624-25_circa_%28amburgo%2C_kunsthalle%29_01.jpg,1622,5,1600-1699,/home3/jqwx33/SculptureMTL/selected_images/Q3647646_0.png,7,3,4
Q3698247,Crucifix in Santa Maria Novella,nude,wood,https://upload.wikimedia.org/wikipedia/commons/1/17/Crocifisso_di_brunelleschi%2C_1410-15_02.JPG,1410,3,1400-1499,/home3/jqwx33/SculptureMTL/selected_images/Q3698247_0.png,6,8,2
Q3725175,"Aeneas, Anchises and Ascanius",group of statues,marble,"[https://upload.wikimedia.org/wikipedia/commons/3/39/Museo_borghese%2C_sala_del_gladiatore%2C_g.l._bernini%2C_enea%2C_anchise_e_ascanio%2C_1618-20%2C_02.JPG, https://upload.wikimedia.org/wikipedia/commons/e/ea/Gianlorenzo_e_pietro_bernini%2C_enea%2C_anchise_e_ascanio%2C_1618-19%2C_02.jpg]",1618,5,1600-1699,/home3/jqwx33/SculptureMTL/selected_images/Q3725175_0.jpg,4,3,4
Q3826972,The Sacrifice of Isaac,group of statues,marble,https://upload.wikimedia.org/wikipedia/commons/b/b9/Donatello%2C_sacrificio_di_isacco%2C_1421_01.JPG,1421,3,1400-1499,/home3/jqwx33/SculptureMTL/selected_images/Q3826972_0.png,4,3,2
Q3937384,Vespasian,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/8/8d/Ritratto_di_vespasiano_da_ostia%2C_69-79_dc.%2C_01.JPG,70,1,1-1199,/home3/jqwx33/SculptureMTL/selected_images/Q3937384_0.png,7,3,0
Q3937504,,Other,marble,"[https://upload.wikimedia.org/wikipedia/commons/a/a8/Emperor_Traianus_Decius_%28Mary_Harrsch%29.jpg, https://upload.wikimedia.org/wikipedia/commons/d/d7/Bust_of_Decius_-_Palazzo_Nuovo_-_Musei_Capitolini_-_Rome_2016_%282%29.jpg]",249,1,1-1199,/home3/jqwx33/SculptureMTL/selected_images/Q3937504_0.jpg,0,3,0
Q3937556,,Other,marble,https://upload.wikimedia.org/wikipedia/commons/a/af/Gordian_III_Massimo.jpg,244,1,1-1199,/home3/jqwx33/SculptureMTL/selected_images/Q3937556_0.png,0,3,0
Q3984954,Theseus and the Minotaur,Other,marble,https://upload.wikimedia.org/wikipedia/commons/a/aa/Antonio_Canova-Theseus_and_the_Minotaur-Victoria_and_Albert_Museum.jpg,1781,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q3984954_0.png,0,3,5
Q4159375,Children Are the Victims of Adult Vices,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/b/b5/Children_Are_the_Victims_of_Adult_Vices.jpg,2001,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q4159375_0.png,8,1,12
Q4710272,Albert Gallatin,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/d/db/Albert_Gallatin_statue.JPG,1941,10,1940-1959,/home3/jqwx33/SculptureMTL/selected_images/Q4710272_0.png,8,1,9
Q4733571,Alma Mater,group of statues,bronze,https://upload.wikimedia.org/wikipedia/commons/d/d9/Alma_Mater_-_UIUC_-_DSC09095.JPG,1929,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q4733571_0.png,4,1,8
Q4757456,Andrew Jackson Downing Urn,public art,marble,https://upload.wikimedia.org/wikipedia/commons/6/6f/Andrew_Jackson_Downing_urn.jpg,1856,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q4757456_0.png,8,3,7
Q4762322,Angel in a Cage,public art,Other,https://upload.wikimedia.org/wikipedia/commons/d/d5/Angel_in_a_Cage.jpg,1983,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q4762322_0.png,8,0,11
Q4952123,Boy Scout Memorial,nude,bronze,https://upload.wikimedia.org/wikipedia/commons/5/52/Boy_Scout_Memorial-27527.jpg,1964,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q4952123_0.png,6,1,10
Q5002072,Bust of Monsignor Pedro de Foix Montoya,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/2/2f/Bernini%2C_ritratto_di_Pedro_de_Foix_Montoya.jpg,1621,5,1600-1699,/home3/jqwx33/SculptureMTL/selected_images/Q5002072_0.png,7,3,4
Q5049181,Cass Street Park,public art,Other,https://upload.wikimedia.org/wikipedia/commons/1/1b/Cass_Street_Park.jpg,1998,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q5049181_0.png,8,0,11
Q5194510,Cupid and Psyche (Roman sculpture),group of statues,marble,https://upload.wikimedia.org/wikipedia/commons/6/65/Statua_di_Amore_e_Psiche.jpg,50,1,1-1199,/home3/jqwx33/SculptureMTL/selected_images/Q5194510_0.png,4,3,0
Q5324996,Eagle,public art,metal,https://upload.wikimedia.org/wikipedia/commons/7/76/Eagle_by_A.Calder.jpg,1971,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q5324996_0.png,8,4,10
Q5384419,Equestrian statue of Simón Bolívar,equestrian statue,marble,https://upload.wikimedia.org/wikipedia/commons/7/78/Statue_of_south_american_liberator_simon_bolivar.tif,1959,10,1940-1959,/home3/jqwx33/SculptureMTL/selected_images/Q5384419_0.png,3,3,9
Q5649838,The Astronaut,public art,metal,https://upload.wikimedia.org/wikipedia/commons/5/5f/El_astronauta_%28Francisco_Leiro%29_02.jpg,2001,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q5649838_0.png,8,4,12
Q6072032,Per Adriano,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/9/99/Santa_Cruz_Maske_vor_dem_Teatro_Guimera_fcm.jpg,1993,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q6072032_0.png,8,1,11
Q6173016,Àngel,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/2/2a/%C3%80ngel_%28Felip_Ros%29_-_001.jpg,1618,5,1600-1699,/home3/jqwx33/SculptureMTL/selected_images/Q6173016_0.png,8,1,4
Q6433026,Kosciuszko Monument,equestrian statue,bronze,https://upload.wikimedia.org/wikipedia/commons/0/07/Milwaukee_Kosciuszko_edit.jpg,1905,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q6433026_0.png,3,1,8
Q6591122,Woman Combing Her Hair,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/8/89/Alexander_archipenko.JPG,1914,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q6591122_0.png,8,1,8
Q6807341,Medusa,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/4/42/Medusa_head_attributed_to_Gianlorenzo_Bernini_%28Roma%29.jpg,1630,5,1600-1699,/home3/jqwx33/SculptureMTL/selected_images/Q6807341_0.png,7,3,4
Q7146303,Patrick Cudahy Memorial,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/1/1a/Patrick_Cudahy.jpg,1965,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q7146303_0.png,8,1,10
Q7273331,R.D. Whitehead Monument,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/9/91/R.D.WhiteheadMonument1910.jpg,1910,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q7273331_0.png,8,1,8
Q7342517,Robert Burns,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/a/a4/BurnsMonument1909.jpg,1908,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q7342517_0.png,8,1,8
Q7491948,She Changes,public art,metal,https://upload.wikimedia.org/wikipedia/commons/f/fe/Porto_-_Matosinhos_-_Pra%C3%A7a_da_Cidade_de_Salvador.jpg,2005,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q7491948_0.png,8,4,12
Q7496239,Shift,Other,stone,https://upload.wikimedia.org/wikipedia/commons/4/45/Richard_Serra%27s_%22Shift%22_%281970%29_%2815453455084%29.jpg,1970,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q7496239_0.png,0,6,10
Q7577960,Spirit of Commerce,public art,metal,https://upload.wikimedia.org/wikipedia/commons/f/ff/SpiritofCommerce1881.jpg,1881,8,1850-1899,/home3/jqwx33/SculptureMTL/selected_images/Q7577960_0.png,8,4,7
Q7663369,Syrinx,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/2/25/Syrinx_by_Adolph_Wolter_%281973%29_-_panoramio_-_WSaves_PublicArt.jpg,1973,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q7663369_0.png,8,1,10
Q10673803,,public art,bronze,https://upload.wikimedia.org/wikipedia/commons/a/a1/Sophie_sculpture_Stockholm_Sweden_2006-04-12.jpg,1984,12,1980-1999,/home3/jqwx33/SculptureMTL/selected_images/Q10673803_0.png,8,1,11
Q11748997,Krzesło Kantora,public art,stone,https://upload.wikimedia.org/wikipedia/commons/a/a0/Krzes%C5%82o_ul._Rze%C5%BAnicza.jpg,2011,13,2000-2022,/home3/jqwx33/SculptureMTL/selected_images/Q11748997_0.png,8,6,12
Q11879927,Lyhdynkantajat / Lantern Carriers,public art,stone,https://upload.wikimedia.org/wikipedia/commons/6/60/Figuren_am_Hauptbahnhof_Helsinki_01.jpg,1914,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q11879927_0.png,8,6,8
Q12368810,Linda,public art,stone,https://upload.wikimedia.org/wikipedia/commons/5/5b/Flickr_-_tm-tm_-_Linda%2C_Tallinn.jpg,1920,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q12368810_0.png,8,6,8
Q13471405,Bust of Juliette Récamier,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/7/79/Bust_of_Juliette_R%C3%A9camier.jpg,1804,7,1800-1849,/home3/jqwx33/SculptureMTL/selected_images/Q13471405_0.png,7,3,6
Q15147907,Royal Palace Lions,animal sculpture,bronze,https://upload.wikimedia.org/wikipedia/commons/c/c4/Slottslejon_%C3%B6st_2011.jpg,1711,6,1700-1799,/home3/jqwx33/SculptureMTL/selected_images/Q15147907_0.png,2,1,5
Q15726575,equestrian statue of Maréchal Foch,equestrian statue,bronze,https://upload.wikimedia.org/wikipedia/commons/b/b8/Standbeeld_Ferdinand_Foch_%286226423889%29.jpg,1951,10,1940-1959,/home3/jqwx33/SculptureMTL/selected_images/Q15726575_0.png,3,1,9
Q15732310,statue of Sacred Heart of Jesus Christ,Other,metal,https://upload.wikimedia.org/wikipedia/commons/3/30/H-Hartbeeld_D%C3%A9chin_Oploo.jpg,1930,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q15732310_0.png,0,4,8
Q15964403,Peace Monument,Other,Other,https://upload.wikimedia.org/wikipedia/commons/4/4f/Peace_Monument_%28Decatur%2C_Indiana%29.jpg,1913,9,1900-1939,/home3/jqwx33/SculptureMTL/selected_images/Q15964403_0.png,0,0,8
Q16060269,Blessed Soul,portrait,marble,https://upload.wikimedia.org/wikipedia/commons/1/15/Blessed_Soul_by_Bernini.jpg,1619,5,1600-1699,/home3/jqwx33/SculptureMTL/selected_images/Q16060269_0.png,7,3,4
Q16130884,From Holocaust to Rebirth,public art,metal,"[https://upload.wikimedia.org/wikipedia/commons/1/1a/YadVashemBazan1.jpg, https://upload.wikimedia.org/wikipedia/commons/d/dc/From_Holocaust_to_Rebirth.jpg]",1971,11,1960-1979,/home3/jqwx33/SculptureMTL/selected_images/Q16130884_0.png,8,4,10
